image_id,time_s,label,w,h,cx,cy,cx_n,cy_n,area,area_norm,solidity,aspect_ratio,circularity,bbox_x,bbox_y,bbox_w,bbox_h,extent,mask_fuse,finger_count,prior_nboxes,theta_rad,dtheta_rad,theta_accum_rad,rot_dir,path_raw,path_crop,path_mask,path_overlay
1762602122453_000000,1762602122,cw,960,544,696.279,435.326,0.72529,0.80023,45289,0.086721,0.82485,1.41778,0.39236,552,319,319,225,0.63099,AND,2,1,0,0,0,0,data\data_cw\images_raw\1762602122453_000000.jpg,data\data_cw\images_crop\1762602122453_000000.jpg,data\data_cw\masks\1762602122453_000000.png,data\data_cw\overlays\1762602122453_000000.jpg
1762602122639_000001,1762602123,cw,960,544,695.029,429.283,0.72399,0.78912,45801,0.087701,0.81438,1.34764,0.37392,559,311,314,233,0.62602,AND,2,1,0,0,0,0,data\data_cw\images_raw\1762602122639_000001.jpg,data\data_cw\images_crop\1762602122639_000001.jpg,data\data_cw\masks\1762602122639_000001.png,data\data_cw\overlays\1762602122639_000001.jpg
1762602122835_000002,1762602123,cw,960,544,707.482,440.462,0.73696,0.80967,46171,0.08841,0.86566,1.41176,0.44002,570,323,312,221,0.66961,AND,1,1,0,0,0,0,data\data_cw\images_raw\1762602122835_000002.jpg,data\data_cw\images_crop\1762602122835_000002.jpg,data\data_cw\masks\1762602122835_000002.png,data\data_cw\overlays\1762602122835_000002.jpg
1762602123053_000003,1762602123,cw,960,544,698.02,445.785,0.7271,0.81946,48030,0.091969,0.86187,1.5787,0.40318,537,328,341,216,0.65209,AND,1,2,0,0,0,0,data\data_cw\images_raw\1762602123053_000003.jpg,data\data_cw\images_crop\1762602123053_000003.jpg,data\data_cw\masks\1762602123053_000003.png,data\data_cw\overlays\1762602123053_000003.jpg
1762602123220_000004,1762602123,cw,960,544,656.278,409.695,0.68362,0.75312,50306,0.096328,0.81828,1.26087,0.28941,506,289,319,253,0.62332,AND,3,1,0,0,0,0,data\data_cw\images_raw\1762602123220_000004.jpg,data\data_cw\images_crop\1762602123220_000004.jpg,data\data_cw\masks\1762602123220_000004.png,data\data_cw\overlays\1762602123220_000004.jpg
1762602123475_000005,1762602123,cw,960,544,674.955,299.164,0.70308,0.54993,44280,0.084789,0.88671,1.12687,0.5068,524,166,302,268,0.5471,AND,1,2,-1.694702,0,0,0,data\data_cw\images_raw\1762602123475_000005.jpg,data\data_cw\images_crop\1762602123475_000005.jpg,data\data_cw\masks\1762602123475_000005.png,data\data_cw\overlays\1762602123475_000005.jpg
1762602123542_000006,1762602124,cw,960,544,787.736,296.009,0.82056,0.54413,50610,0.096909,0.81183,0.67717,0.36891,658,163,258,381,0.51486,AND,0,0,-0.869354,0.288872,0,1,data\data_cw\images_raw\1762602123542_000006.jpg,data\data_cw\images_crop\1762602123542_000006.jpg,data\data_cw\masks\1762602123542_000006.png,data\data_cw\overlays\1762602123542_000006.jpg
1762602123844_000007,1762602124,cw,960,544,866.876,330.785,0.903,0.60806,47565,0.091079,0.88593,0.58529,0.4483,761,163,199,340,0.703,AND,1,1,-0.376677,0.360203,0,1,data\data_cw\images_raw\1762602123844_000007.jpg,data\data_cw\images_crop\1762602123844_000007.jpg,data\data_cw\masks\1762602123844_000007.png,data\data_cw\overlays\1762602123844_000007.jpg
1762602123939_000008,1762602124,cw,960,544,714.486,475.579,0.74426,0.87423,51329,0.098286,0.54885,3.755,0.12493,209,344,751,200,0.34174,AND,0,0,1.723584,0.969224,0,1,data\data_cw\images_raw\1762602123939_000008.jpg,data\data_cw\images_crop\1762602123939_000008.jpg,data\data_cw\masks\1762602123939_000008.png,data\data_cw\overlays\1762602123939_000008.jpg
1762602124243_000009,1762602124,cw,960,544,706.646,475.568,0.73609,0.87421,36619,0.070119,0.85351,2.22699,0.33514,514,381,363,163,0.61889,AND,0,1,1.821899,0.664406,0,1,data\data_cw\images_raw\1762602124243_000009.jpg,data\data_cw\images_crop\1762602124243_000009.jpg,data\data_cw\masks\1762602124243_000009.png,data\data_cw\overlays\1762602124243_000009.jpg
1762602124446_000010,1762602124,cw,960,544,591.419,449.075,0.61606,0.82551,60452,0.115756,0.86839,1.83333,0.40969,390,328,396,216,0.70675,AND,1,2,2.857462,0.794311,0,1,data\data_cw\images_raw\1762602124446_000010.jpg,data\data_cw\images_crop\1762602124446_000010.jpg,data\data_cw\masks\1762602124446_000010.png,data\data_cw\overlays\1762602124446_000010.jpg
1762602124541_000011,1762602125,cw,960,544,561.184,412.349,0.58457,0.75799,88021,0.168546,0.57913,2.36545,0.11991,187,243,712,301,0.41072,AND,2,0,-3.11361,0.625541,0,1,data\data_cw\images_raw\1762602124541_000011.jpg,data\data_cw\images_crop\1762602124541_000011.jpg,data\data_cw\masks\1762602124541_000011.png,data\data_cw\overlays\1762602124541_000011.jpg
1762602124857_000012,1762602125,cw,960,544,604.021,286.839,0.62919,0.52728,48208,0.092311,0.89456,1.28906,0.5646,434,163,330,256,0.57065,AND,0,1,-2.115909,0.755798,0,1,data\data_cw\images_raw\1762602124857_000012.jpg,data\data_cw\images_crop\1762602124857_000012.jpg,data\data_cw\masks\1762602124857_000012.png,data\data_cw\overlays\1762602124857_000012.jpg
1762602125042_000013,1762602125,cw,960,544,683.533,353.724,0.71201,0.65023,49777,0.095314,0.91834,0.80333,0.53571,573,190,241,300,0.68848,AND,1,1,0,0.755798,0,0,data\data_cw\images_raw\1762602125042_000013.jpg,data\data_cw\images_crop\1762602125042_000013.jpg,data\data_cw\masks\1762602125042_000013.png,data\data_cw\overlays\1762602125042_000013.jpg
1762602125265_000014,1762602125,cw,960,544,648.322,447.73,0.67534,0.82303,44266,0.084763,0.87207,1.47222,0.46919,495,328,318,216,0.64446,AND,2,2,0,0.755798,0,0,data\data_cw\images_raw\1762602125265_000014.jpg,data\data_cw\images_crop\1762602125265_000014.jpg,data\data_cw\masks\1762602125265_000014.png,data\data_cw\overlays\1762602125265_000014.jpg
1762602125439_000015,1762602125,cw,960,544,585.174,455.62,0.60956,0.83754,38242,0.073227,0.90857,1.59677,0.37098,448,358,297,186,0.69226,AND,1,1,2.543668,-0.076995,-0.076995,0,data\data_cw\images_raw\1762602125439_000015.jpg,data\data_cw\images_crop\1762602125439_000015.jpg,data\data_cw\masks\1762602125439_000015.png,data\data_cw\overlays\1762602125439_000015.jpg
