image_id,time_s,w,h,cx,cy,cx_n,cy_n,area,area_norm,solidity,aspect_ratio,circularity,bbox_x,bbox_y,bbox_w,bbox_h,extent,mask_fuse,finger_count,prior,prior_nboxes,gesture,label,path_raw,path_crop,path_mask,path_overlay
1762560875138_000001,1762560875.138,640,480,460.624,285.47,0.71973,0.59473,38700,0.125977,0.68837,0.96907,0.20094,302,144,282,291,0.47159,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875138_000001.jpg,data_play\images_crop\1762560875138_000001.jpg,data_play\masks\1762560875138_000001.png,data_play\overlays\1762560875138_000001.jpg
1762560875223_000002,1762560875.223,640,480,464.805,284.916,0.72626,0.59358,39411,0.128291,0.64687,1.07167,0.18153,300,144,314,293,0.42837,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560875223_000002.jpg,data_play\images_crop\1762560875223_000002.jpg,data_play\masks\1762560875223_000002.png,data_play\overlays\1762560875223_000002.jpg
1762560875297_000003,1762560875.297,640,480,463.299,284.568,0.7239,0.59285,38668,0.125874,0.6852,0.97603,0.19369,303,144,285,292,0.46465,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875297_000003.jpg,data_play\images_crop\1762560875297_000003.jpg,data_play\masks\1762560875297_000003.png,data_play\overlays\1762560875297_000003.jpg
1762560875377_000004,1762560875.377,640,480,462.598,284.198,0.72281,0.59208,39036,0.12707,0.69117,0.97603,0.20616,301,144,285,292,0.46907,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875377_000004.jpg,data_play\images_crop\1762560875377_000004.jpg,data_play\masks\1762560875377_000004.png,data_play\overlays\1762560875377_000004.jpg
1762560875450_000005,1762560875.45,640,480,462.366,284.069,0.72245,0.59181,39011,0.126991,0.69004,0.97945,0.20565,300,144,286,292,0.46714,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875450_000005.jpg,data_play\images_crop\1762560875450_000005.jpg,data_play\masks\1762560875450_000005.png,data_play\overlays\1762560875450_000005.jpg
1762560875521_000006,1762560875.521,640,480,462.375,283.875,0.72246,0.59141,39159,0.127471,0.69393,0.98288,0.21075,300,144,287,292,0.46727,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875521_000006.jpg,data_play\images_crop\1762560875521_000006.jpg,data_play\masks\1762560875521_000006.png,data_play\overlays\1762560875521_000006.jpg
1762560875592_000007,1762560875.592,640,480,461.441,282.98,0.721,0.58954,39080,0.127215,0.69335,0.98966,0.21177,298,144,287,290,0.46955,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875592_000007.jpg,data_play\images_crop\1762560875592_000007.jpg,data_play\masks\1762560875592_000007.png,data_play\overlays\1762560875592_000007.jpg
1762560875661_000008,1762560875.661,640,480,460.827,281.438,0.72004,0.58633,39274,0.127847,0.69444,0.99308,0.20584,297,144,287,289,0.47351,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875661_000008.jpg,data_play\images_crop\1762560875661_000008.jpg,data_play\masks\1762560875661_000008.png,data_play\overlays\1762560875661_000008.jpg
1762560875736_000009,1762560875.736,640,480,460.574,279.318,0.71965,0.58191,39048,0.127111,0.7015,1.01404,0.21123,296,144,289,285,0.47409,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875736_000009.jpg,data_play\images_crop\1762560875736_000009.jpg,data_play\masks\1762560875736_000009.png,data_play\overlays\1762560875736_000009.jpg
1762560875811_000010,1762560875.811,640,480,460.974,280.523,0.72027,0.58442,39592,0.12888,0.68886,1.01389,0.21206,295,144,292,288,0.4708,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875811_000010.jpg,data_play\images_crop\1762560875811_000010.jpg,data_play\masks\1762560875811_000010.png,data_play\overlays\1762560875811_000010.jpg
1762560875885_000011,1762560875.885,640,480,455.912,285.152,0.71236,0.59407,40280,0.13112,0.69177,0.99322,0.20933,290,144,293,295,0.46601,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560875885_000011.jpg,data_play\images_crop\1762560875885_000011.jpg,data_play\masks\1762560875885_000011.png,data_play\overlays\1762560875885_000011.jpg
1762560875962_000012,1762560875.962,640,480,452.079,287.695,0.70637,0.59936,41128,0.133882,0.64961,1.07,0.18571,285,144,321,300,0.42709,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560875962_000012.jpg,data_play\images_crop\1762560875962_000012.jpg,data_play\masks\1762560875962_000012.png,data_play\overlays\1762560875962_000012.jpg
1762560876039_000013,1762560876.039,640,480,447.219,289.133,0.69878,0.60236,40617,0.132217,0.68753,0.97,0.19859,284,144,291,300,0.46526,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560876039_000013.jpg,data_play\images_crop\1762560876039_000013.jpg,data_play\masks\1762560876039_000013.png,data_play\overlays\1762560876039_000013.jpg
1762560876120_000014,1762560876.12,640,480,442.732,291.56,0.69177,0.60742,40433,0.131618,0.67725,0.95395,0.19448,279,144,290,304,0.45863,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560876120_000014.jpg,data_play\images_crop\1762560876120_000014.jpg,data_play\masks\1762560876120_000014.png,data_play\overlays\1762560876120_000014.jpg
1762560876208_000015,1762560876.208,640,480,436.957,300.615,0.68275,0.62628,40914,0.133184,0.66052,0.91483,0.18304,276,144,290,317,0.44506,YCrCb,3,mediapipe,1,Three,play,data_play\images_raw\1762560876208_000015.jpg,data_play\images_crop\1762560876208_000015.jpg,data_play\masks\1762560876208_000015.png,data_play\overlays\1762560876208_000015.jpg
1762560876299_000016,1762560876.299,640,480,436.696,312.369,0.68234,0.65077,41480,0.135028,0.64218,0.87387,0.16403,277,144,291,333,0.42806,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876299_000016.jpg,data_play\images_crop\1762560876299_000016.jpg,data_play\masks\1762560876299_000016.png,data_play\overlays\1762560876299_000016.jpg
1762560876389_000017,1762560876.389,640,480,439.646,327.765,0.68695,0.68284,39942,0.13002,0.63764,0.83631,0.16592,284,144,281,336,0.42304,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876389_000017.jpg,data_play\images_crop\1762560876389_000017.jpg,data_play\masks\1762560876389_000017.png,data_play\overlays\1762560876389_000017.jpg
1762560876490_000018,1762560876.49,640,480,445.456,334.521,0.69602,0.69692,37579,0.122329,0.64146,0.84877,0.16995,294,156,275,324,0.42177,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876490_000018.jpg,data_play\images_crop\1762560876490_000018.jpg,data_play\masks\1762560876490_000018.png,data_play\overlays\1762560876490_000018.jpg
1762560876584_000019,1762560876.584,640,480,448.622,335.58,0.70097,0.69913,36542,0.118952,0.63438,0.85358,0.16498,298,159,274,321,0.41547,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876584_000019.jpg,data_play\images_crop\1762560876584_000019.jpg,data_play\masks\1762560876584_000019.png,data_play\overlays\1762560876584_000019.jpg
1762560876680_000020,1762560876.68,640,480,450.236,336.45,0.70349,0.70094,35112,0.114299,0.63528,0.84494,0.16209,304,164,267,316,0.41616,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876680_000020.jpg,data_play\images_crop\1762560876680_000020.jpg,data_play\masks\1762560876680_000020.png,data_play\overlays\1762560876680_000020.jpg
1762560876775_000021,1762560876.775,640,480,447.75,338.008,0.69961,0.70418,33540,0.10918,0.6364,0.82958,0.16419,306,169,258,311,0.41801,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876775_000021.jpg,data_play\images_crop\1762560876775_000021.jpg,data_play\masks\1762560876775_000021.png,data_play\overlays\1762560876775_000021.jpg
1762560876871_000022,1762560876.871,640,480,444.049,339.61,0.69383,0.70752,32226,0.104902,0.63472,0.8241,0.15965,305,173,253,307,0.4149,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876871_000022.jpg,data_play\images_crop\1762560876871_000022.jpg,data_play\masks\1762560876871_000022.png,data_play\overlays\1762560876871_000022.jpg
1762560876972_000023,1762560876.972,640,480,439.024,340.19,0.68598,0.70873,31439,0.102342,0.63382,0.81967,0.16231,301,175,250,305,0.41232,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560876972_000023.jpg,data_play\images_crop\1762560876972_000023.jpg,data_play\masks\1762560876972_000023.png,data_play\overlays\1762560876972_000023.jpg
1762560877069_000024,1762560877.069,640,480,431.477,340.279,0.67418,0.70892,30536,0.099403,0.63471,0.81667,0.1624,296,180,245,300,0.41546,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877069_000024.jpg,data_play\images_crop\1762560877069_000024.jpg,data_play\masks\1762560877069_000024.png,data_play\overlays\1762560877069_000024.jpg
1762560877168_000025,1762560877.168,640,480,421.975,339.978,0.65934,0.70829,29987,0.097616,0.63053,0.81063,0.16307,286,179,244,301,0.4083,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877168_000025.jpg,data_play\images_crop\1762560877168_000025.jpg,data_play\masks\1762560877168_000025.png,data_play\overlays\1762560877168_000025.jpg
1762560877268_000026,1762560877.268,640,480,413.871,339.009,0.64667,0.70627,29404,0.095718,0.63917,0.78073,0.16602,283,179,235,301,0.4157,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877268_000026.jpg,data_play\images_crop\1762560877268_000026.jpg,data_play\masks\1762560877268_000026.png,data_play\overlays\1762560877268_000026.jpg
1762560877363_000027,1762560877.363,640,480,409.004,336.655,0.63907,0.70136,29206,0.095073,0.64094,0.78261,0.16781,278,179,234,299,0.41744,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877363_000027.jpg,data_play\images_crop\1762560877363_000027.jpg,data_play\masks\1762560877363_000027.png,data_play\overlays\1762560877363_000027.jpg
1762560877458_000028,1762560877.458,640,480,404.767,335.06,0.63245,0.69804,28291,0.092095,0.6413,0.78041,0.16564,275,178,231,296,0.41376,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877458_000028.jpg,data_play\images_crop\1762560877458_000028.jpg,data_play\masks\1762560877458_000028.png,data_play\overlays\1762560877458_000028.jpg
1762560877557_000029,1762560877.557,640,480,404.199,331.96,0.63156,0.69158,27586,0.089798,0.63792,0.79038,0.16886,276,178,230,291,0.41216,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877557_000029.jpg,data_play\images_crop\1762560877557_000029.jpg,data_play\masks\1762560877557_000029.png,data_play\overlays\1762560877557_000029.jpg
1762560877653_000030,1762560877.653,640,480,406.259,328.991,0.63478,0.6854,27209,0.088573,0.6465,0.77931,0.17274,280,176,226,290,0.41516,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877653_000030.jpg,data_play\images_crop\1762560877653_000030.jpg,data_play\masks\1762560877653_000030.png,data_play\overlays\1762560877653_000030.jpg
1762560877749_000031,1762560877.749,640,480,406.503,329.239,0.63516,0.68591,26689,0.08688,0.64269,0.77163,0.16263,282,176,223,289,0.41413,YCrCb,4,mediapipe,1,Four,play,data_play\images_raw\1762560877749_000031.jpg,data_play\images_crop\1762560877749_000031.jpg,data_play\masks\1762560877749_000031.png,data_play\overlays\1762560877749_000031.jpg
